Tamanho,Exec. Time,No Exec.,Total Stalls,Serial Stalls,Bad Spec,FE Bound,BE Bound,Branch MSP
1000000,2039105703,683.500.556,9.113.381.744,5.001.527.588,5.1,40.4,52.2,5.1
1000000,2082691361,696.678.823,9.317.674.138,5.118.888.879,5.1,40.4,52.2,5.1
1000000,2010768440,674.765.083,8.990.143.273,4.932.119.721,5.1,40.6,52.0,5.1
1000000,2066238764,691.542.520,9.239.692.643,5.075.729.344,5.1,40.4,52.2,5.1
1000000,2056164419,684.521.133,9.178.196.215,5.044.362.998,5.1,40.8,51.8,5.1
1000000,2041007526,683.620.636,9.128.513.270,5.017.615.174,5.1,40.4,52.2,5.1
1000000,2141204228,715.831.874,9.574.158.396,5.270.343.014,5.1,40.4,52.2,5.1
1000000,2028940039,680.712.141,9.073.952.207,4.978.538.322,5.1,40.2,52.3,5.1
1000000,2271860240,761.744.972,10.164.929.408,5.603.977.340,5.1,40.4,52.2,5.1
1000000,2076701886,695.797.930,9.289.004.947,5.104.165.412,5.1,40.8,51.8,5.1
1000000,2060344294,692.675.936,9.217.507.955,5.060.628.964,5.1,40.4,52.2,5.1
1000000,2063365556,691.379.040,9.229.896.732,5.068.553.860,5.1,40.8,51.8,5.1
1000000,2001275052,671.071.579,8.945.857.857,4.906.923.114,5.1,40.6,52.0,5.1
1000000,2132476422,713.271.299,9.525.634.790,5.243.015.473,5.1,40.6,52.0,5.1
1000000,2068584296,694.731.634,9.245.766.711,5.073.950.434,5.1,40.6,52.0,5.1
1000000,2096618178,702.835.898,9.377.819.794,5.156.630.799,5.1,40.4,52.2,5.1
1000000,2072046822,698.778.290,9.269.347.653,5.080.927.393,5.1,40.6,52.0,5.1
1000000,2346005904,786.704.855,10.500.323.128,5.798.986.186,5.1,40.8,51.8,5.1
1000000,2045869033,686.024.273,9.152.339.457,5.026.349.804,5.1,40.4,52.2,5.1
1000000,2021794598,678.868.041,9.044.273.999,4.960.882.220,5.1,40.6,52.0,5.1
1000000,2056406239,691.263.694,9.193.750.338,5.042.820.438,5.1,40.6,52.0,5.1
1000000,2036074072,682.195.645,9.098.485.751,4.992.861.971,5.1,40.6,52.0,5.1
1000000,2021989438,682.448.867,9.042.787.584,4.954.110.038,5.1,40.6,52.0,5.1
1000000,2068849314,693.934.672,9.252.765.049,5.083.311.294,5.1,40.4,52.2,5.1
1000000,2120705617,711.194.433,9.483.364.390,5.211.599.651,5.1,40.4,52.2,5.1
1000000,2075544879,695.214.754,9.285.512.406,5.102.393.072,5.1,40.8,51.8,5.1
1000000,2094964496,704.914.388,9.373.802.957,5.147.148.176,5.1,40.4,52.2,5.1
1000000,2020068096,677.396.087,9.031.606.579,4.958.263.779,5.1,40.6,52.0,5.1
1000000,1983975497,666.237.579,8.877.763.051,4.867.335.254,5.1,40.6,52.0,5.1
1000000,2164760698,724.951.348,9.681.961.301,5.327.173.282,5.1,40.8,51.8,5.1
1000000,2024377746,680.097.724,9.060.149.481,4.971.291.942,5.1,40.8,51.8,5.1
1000000,2075482287,696.405.925,9.289.137.189,5.104.097.191,5.1,40.4,52.2,5.1
1000000,1991582948,662.686.250,8.885.588.839,4.877.066.325,5.1,40.6,52.0,5.1
1000000,2170483254,728.011.133,9.706.708.487,5.340.770.369,5.1,40.8,51.8,5.1
1000000,2080941526,698.730.092,9.306.461.191,5.111.031.635,5.1,40.6,52.0,5.1
1000000,2107460929,706.468.195,9.423.515.951,5.181.274.120,5.1,40.2,52.3,5.1
1000000,2024296665,679.295.400,9.055.680.677,4.970.376.441,5.1,40.4,52.2,5.1
1000000,2113189940,707.820.693,9.448.840.162,5.196.301.543,5.1,40.6,52.0,5.1
1000000,2030766097,681.371.076,9.087.494.025,4.987.926.983,5.1,40.4,52.2,5.1
1000000,1996675360,667.797.965,8.926.309.726,4.904.003.693,5.1,41.6,51.0,5.1
1000000,2078500973,698.025.484,9.299.539.073,5.109.798.131,5.1,40.6,52.0,5.1
1000000,1996687148,669.232.682,8.933.124.230,4.900.554.708,5.1,40.8,51.8,5.1
1000000,2260476456,757.835.102,10.115.696.422,5.575.857.543,5.1,40.8,51.8,5.1
1000000,2244723728,753.402.070,10.042.743.669,5.533.373.682,5.1,40.2,52.3,5.1
1000000,2208989142,740.601.821,9.883.726.137,5.440.025.928,5.1,40.2,52.3,5.1
1000000,2056855147,690.543.074,9.199.680.399,5.054.924.026,5.1,40.6,52.0,5.1
1000000,2139937047,717.464.790,9.571.978.242,5.264.346.954,5.1,40.6,52.0,5.1
1000000,2081173171,699.060.566,9.312.046.698,5.119.295.431,5.1,40.6,52.0,5.1
1000000,2050827923,688.468.675,9.163.513.999,5.027.692.045,5.1,40.6,52.0,5.1
1000000,2166017036,726.026.006,9.684.814.803,5.331.018.279,5.1,40.4,52.2,5.1
1000000,2187368625,732.387.177,9.783.165.455,5.385.858.996,5.1,40.5,51.8,5.1
1000000,2029295341,677.855.328,9.072.555.740,4.983.401.280,5.1,40.6,52.0,5.1
1000000,1991605345,667.274.522,8.908.384.296,4.885.062.274,5.1,41.0,51.6,5.1
1000000,2025523096,678.377.658,9.053.110.114,4.971.101.886,5.1,40.6,52.0,5.1
1000000,2043966930,683.407.437,9.137.090.291,5.022.441.505,5.1,40.2,52.3,5.1
1000000,2087443934,699.468.717,9.332.497.543,5.128.125.386,5.1,40.4,52.2,5.1
1000000,2079875741,696.904.551,9.303.378.376,5.110.136.477,5.1,40.4,52.2,5.1
1000000,2207698647,738.104.082,9.872.058.736,5.437.013.617,5.1,40.5,51.8,5.1
1000000,1987887914,666.453.221,8.886.199.163,4.872.839.654,5.1,40.2,52.0,5.1
1000000,2104342195,704.723.964,9.409.392.580,5.174.002.491,5.1,40.4,52.2,5.1
1000000,2084324478,697.485.279,9.316.028.353,5.123.650.151,5.1,40.6,52.0,5.1
2000000,4532925032,1.520.547.104,20.290.933.570,11.168.477.897,5.1,40.6,52.0,5.1
2000000,5026474575,1.683.918.835,22.480.926.801,12.421.227.733,5.1,40.4,52.2,5.1
2000000,4801693431,1.607.489.344,21.483.887.085,11.862.148.644,4.7,41.2,51.4,4.7
2000000,4555107234,1.524.975.646,20.388.993.576,11.226.240.496,5.1,40.4,52.2,5.1
2000000,4526512674,1.517.049.410,20.255.464.236,11.153.491.996,5.1,40.6,52.0,5.1
2000000,4153927341,1.391.692.178,18.577.304.880,10.200.646.914,5.1,40.4,52.2,5.1
2000000,4487512140,1.502.835.217,20.057.200.461,11.039.324.155,5.1,40.9,51.6,5.1
2000000,4278766272,1.432.369.276,19.137.779.089,10.522.993.394,5.1,40.2,52.3,5.1
2000000,4425248108,1.481.993.331,19.791.894.585,10.889.538.388,5.1,40.4,52.2,5.1
2000000,4452922068,1.489.610.413,19.910.949.394,10.958.267.947,5.1,40.4,52.2,5.1
2000000,4296247411,1.440.042.555,19.209.285.446,10.558.994.310,5.1,40.4,52.2,5.1
2000000,4336203722,1.455.523.304,19.397.424.808,10.660.551.245,5.1,40.6,52.0,5.1
2000000,4341459339,1.453.378.131,19.407.466.225,10.677.255.671,5.1,40.2,52.3,5.1
2000000,4369274673,1.465.849.015,19.552.032.696,10.743.864.146,5.1,40.4,52.2,5.1
2000000,4410539881,1.478.702.628,19.714.251.111,10.837.762.110,5.1,40.4,52.2,5.1
2000000,4234275025,1.416.749.640,18.936.346.660,10.407.084.931,5.1,40.0,52.5,5.1
2000000,4329975154,1.449.644.358,19.370.085.879,10.645.932.593,4.7,40.4,52.2,4.7
2000000,4475907363,1.498.585.984,20.024.532.838,11.019.361.432,5.1,40.2,52.0,5.1
2000000,4494762790,1.505.142.006,20.097.478.689,11.067.196.231,5.1,40.4,52.2,5.1
2000000,4313563215,1.441.766.348,19.274.464.792,10.601.188.116,5.1,40.2,52.3,5.1
2000000,4549784556,1.524.725.892,20.343.124.749,11.201.207.243,5.1,40.6,52.0,5.1
2000000,4146285682,1.390.066.061,18.529.434.208,10.165.384.139,5.1,40.4,52.2,5.1
2000000,4236691240,1.420.164.836,18.943.652.857,10.404.184.287,5.1,40.4,52.2,5.1
2000000,4198939316,1.401.565.796,18.750.797.562,10.289.062.565,5.1,40.2,52.3,5.1
2000000,4316075719,1.447.137.378,19.303.201.703,10.608.955.671,5.1,40.2,52.3,5.1
2000000,4491453657,1.504.523.380,20.089.806.171,11.065.902.326,5.1,40.6,52.0,5.1
2000000,4405653293,1.476.284.930,19.705.500.831,10.843.569.813,5.1,40.6,52.0,5.1
2000000,4273635204,1.433.190.661,19.120.517.878,10.501.466.138,5.1,40.2,52.0,5.1
2000000,4517043777,1.511.865.178,20.206.571.990,11.129.531.614,4.7,40.4,52.2,4.7
2000000,4453579401,1.490.328.262,19.919.484.974,10.964.076.004,4.7,40.0,52.5,4.7
2000000,4605112570,1.541.231.276,20.600.548.453,11.361.806.681,5.1,40.2,52.0,5.1
2000000,4276030620,1.431.739.182,19.135.406.685,10.509.839.940,5.1,40.5,51.8,5.1
2000000,4527943589,1.516.090.681,20.257.542.651,11.152.120.202,4.7,40.2,52.3,4.7
2000000,4275796623,1.433.970.804,19.114.823.591,10.498.402.828,5.1,40.2,52.3,5.1
2000000,4471984444,1.498.384.914,20.006.603.892,10.999.246.725,5.1,40.1,52.1,5.1
2000000,4401101932,1.470.277.496,19.682.675.612,10.836.102.682,4.7,40.2,52.3,4.7
2000000,4341638181,1.447.133.011,19.426.234.179,10.682.901.345,4.7,39.8,52.7,4.7
2000000,4340477366,1.452.739.479,19.403.701.552,10.672.396.417,4.7,40.0,52.5,4.7
2000000,4292053252,1.437.395.001,19.199.461.204,10.557.050.196,5.1,40.2,52.3,5.1
2000000,4218563402,1.414.922.767,18.867.438.438,10.361.139.653,5.1,40.6,52.0,5.1
2000000,4458991200,1.495.924.187,19.947.141.461,10.976.666.245,4.7,40.4,52.5,4.7
2000000,4247218578,1.428.871.350,19.003.449.682,10.422.464.410,5.1,40.6,52.0,5.1
2000000,4440358967,1.487.183.438,19.858.133.086,10.933.422.531,5.1,40.4,52.2,5.1
2000000,4419171874,1.480.326.784,19.770.071.109,10.879.589.672,5.1,40.6,52.0,5.1
2000000,4360848230,1.458.690.589,19.500.180.539,10.732.799.602,5.1,40.2,52.0,5.1
2000000,4274636304,1.429.237.274,19.112.892.030,10.510.099.190,4.7,40.6,52.0,4.7
2000000,4246536179,1.421.464.015,18.992.456.792,10.438.434.877,5.1,39.8,52.3,5.1
2000000,4428354681,1.480.403.439,19.808.927.622,10.909.825.634,4.7,40.0,52.5,4.7
2000000,4331582639,1.450.430.256,19.377.415.620,10.656.972.447,5.1,40.2,52.3,5.1
2000000,4266149924,1.430.475.147,19.077.291.120,10.481.233.037,5.1,40.4,52.2,5.1
2000000,4342537802,1.455.959.207,19.415.616.657,10.678.099.760,5.1,40.2,52.3,5.1
2000000,4358485503,1.460.781.987,19.487.894.940,10.715.237.420,5.1,40.4,52.2,5.1
2000000,4536955973,1.519.701.275,20.289.612.192,11.174.469.480,5.1,40.6,52.0,5.1
2000000,4373333976,1.463.609.947,19.562.872.238,10.759.275.245,5.1,40.4,52.2,5.1
2000000,4354416665,1.458.987.429,19.468.097.015,10.702.717.251,5.1,40.8,51.8,5.1
2000000,4262100737,1.426.010.587,19.064.968.509,10.476.177.675,5.1,40.2,52.3,5.1
2000000,4688366641,1.570.835.749,20.980.239.038,11.562.701.570,5.1,40.9,51.6,5.1
2000000,4485212093,1.503.413.494,20.061.235.556,11.046.661.504,5.1,40.6,52.0,5.1
2000000,4369356867,1.466.539.718,19.544.094.322,10.740.996.008,5.1,40.6,52.0,5.1
2000000,4406078188,1.476.693.249,19.708.345.314,10.841.136.515,5.1,40.4,52.2,5.1
2000000,4488125447,1.502.794.282,20.079.551.681,11.057.673.412,5.1,40.6,52.0,5.1
2000000,4348960139,1.456.610.220,19.443.959.199,10.689.219.868,5.1,40.0,52.2,5.1
2000000,4343627422,1.455.348.637,19.432.049.828,10.692.814.395,5.1,39.8,52.3,5.1
2000000,4550301735,1.523.969.154,20.358.188.006,11.212.567.717,5.1,39.7,52.5,5.1
2000000,4374927205,1.465.648.502,19.569.518.351,10.760.407.228,5.1,40.4,52.2,5.1
2000000,4581375059,1.536.329.700,20.504.428.747,11.292.777.547,5.1,40.6,52.0,5.1
2000000,4320594891,1.446.959.599,19.322.298.728,10.619.251.729,5.1,41.0,51.6,5.1
2000000,4452165040,1.491.162.251,19.915.986.531,10.962.454.871,5.1,40.8,51.8,5.1
2000000,4689577416,1.568.960.760,20.978.699.648,11.574.975.045,4.7,40.0,52.9,4.7
2000000,4475021760,1.499.798.289,20.013.607.731,11.006.662.393,5.1,40.8,51.4,5.1
2000000,4390997678,1.469.537.697,19.620.667.316,10.793.069.893,5.1,40.6,52.0,5.1
2000000,4326961378,1.446.700.792,19.347.451.868,10.644.851.193,4.7,40.2,52.3,4.7
2000000,4483099899,1.500.148.882,20.053.978.659,11.044.897.868,5.1,40.2,52.3,5.1
2000000,4404184191,1.473.218.825,19.715.008.617,10.829.958.747,5.1,40.5,51.8,5.1
2000000,4412666236,1.477.283.270,19.730.717.452,10.854.785.136,5.1,40.4,51.8,5.1
2000000,4353398105,1.458.055.848,19.476.356.222,10.709.161.638,5.1,40.2,52.0,5.1
2000000,4792585544,1.605.382.022,21.439.715.286,11.828.920.110,5.1,40.4,52.2,5.1
2000000,4625254722,1.551.412.534,20.694.072.123,11.403.595.475,5.1,40.6,52.0,5.1
2000000,4597826680,1.543.215.204,20.576.627.709,11.333.203.616,5.1,40.8,51.8,5.1
2000000,4460048013,1.493.881.675,19.946.158.860,10.977.734.285,5.1,40.6,52.0,5.1
2000000,4586273979,1.534.430.471,20.523.724.731,11.310.131.456,4.7,40.0,52.5,4.7
